hour_of_day,average_trips
0,19474.966666666667
1,15157.366666666667
2,11178.7
3,8380.0
4,6101.933333333333
5,4389.6
6,3982.366666666667
7,8773.766666666666
8,15128.3
9,18592.066666666666
10,19227.166666666668
11,18797.466666666667
12,19542.466666666667
13,20382.7
14,20282.333333333332
15,20844.2
16,20106.633333333335
17,17743.466666666667
18,20885.566666666666
19,25112.3
20,25341.033333333333
21,23644.1
22,23080.233333333334
23,22621.866666666665
